1346,BOWMAN ST,40,-35.253167,149.072962
1991,WILLIAM HOVELL DR,90,-35.260529,149.029516
747,PROVAN ST,40,-35.288194,149.14334
3360,ELLENBOROUGH ST,60,-35.230053,149.111482
1284,MCBRYDE CR,40,-35.405013,149.1009
1278,DICKSON PL,40,-35.25025,149.138135
1367,RUBICON ST,40,-35.221421,149.103006
1013,STURT AV,70,-35.333997,149.147398
2161,WELL STATION DR,30,-35.209885,149.157986
1992,WILLIAM HOVELL DR,90,-35.260421,149.029652
1535,RYLAH CR,40,-35.390211,149.086207
1318,COMRIE ST,40,-35.404544,149.099011
1321,SPRINGVALE DR,60,-35.244384,149.044689
1556,LIARDET ST,40,-35.340072,149.05168
2452,ERINDALE DR,80,-35.406219,149.102665
1212,HALLEY ST,40,-35.41427,149.130492
1281,CHALLIS ST,40,-35.250464,149.135351
1418,HARDWICK CR,40,-35.221448,149.018474
537,CLARRIE HERMES DR,80,-35.177775,149.092104
1675,WILLIAM HOVELL DR,80,-35.271649,149.05726
1173,PIONEER ST,40,-35.165282,149.133368
3037,NEWCHURCH ST,40,-35.321869,149.041711
1795,JOHN GORTON DR,60,-35.300196,149.033912
786,PENTLAND ST,40,-35.289081,149.14255
1189,LHOTSKY ST,40,-35.204642,149.030617
1180,WERE ST,40,-35.434125,149.112229
1252,DICKSON PL,40,-35.251001,149.140117
1350,BOWMAN ST,40,-35.251702,149.070389
1326,HAWKER PL 2-50,40,-35.243259,149.044959
1352,BOWMAN ST,40,-35.251859,149.072542
809,LONDON CCT,40,-35.280211,149.126552
1848,COPPINS CROSSING RD,60,-35.293868,149.035502
1758,JOHN GORTON DR,60,-35.303628,149.032716
768,GETTING CR,40,-35.290637,149.144893
1296,COMRIE ST,40,-35.402262,149.099222
1657,WILLIAM HOVELL DR,80,-35.277097,149.077738
3035,WOODBERRY AV,40,-35.322112,149.042291
3366,ONKAPARINGA CR,20,-35.215462,149.10645
1264,BADHAM ST,40,-35.249023,149.13809
3162,THROSBY CR,50,-35.328793,149.14261
1499,FLINDERS WY,40,-35.319753,149.133862
3398,LONGERENONG ST,15,-35.377315,149.107271
3393,LONGERENONG ST,15,-35.377197,149.107269
1618,WILLIAM HOVELL DR,80,-35.269402,149.045565
819,BARRY DR,60,-35.273988,149.122887
3063,WOODBERRY AV,20,-35.319628,149.041058
1554,BRIERLY ST,40,-35.340476,149.052211
1351,BOWMAN ST,40,-35.251497,149.071359
1525,MAWSON PL,40,-35.366495,149.093861
1392,GILES ST,40,-35.314336,149.142514
1157,HORSE PARK DRSRV RD,40,-35.164112,149.131744
61708,TIMBARRA CR,25,-35.348282,149.109497
1547,WATLING PL,40,-35.342646,149.053429
1342,BOWMAN ST,40,-35.25486,149.069531
1357,MARIBYRNONG AV,60,-35.219895,149.101701
1671,WILLIAM HOVELL DR,80,-35.275057,149.065866
1182,WEBBER CR,40,-35.435028,149.112778
1207,HALLEY ST,40,-35.413812,149.129867
1778,JOHN GORTON DR,60,-35.30154,149.033794
1280,CHALLIS ST,40,-35.250103,149.135535
1506,FLINDERS WY,40,-35.322098,149.133376
1359,GEORGINA CR,40,-35.219874,149.102147
1508,FLINDERS WY,40,-35.322083,149.133244
1759,JOHN GORTON DR,70,-35.303628,149.032716
1548,PARKINSON ST,40,-35.342319,149.052727
2444,ASHLEY DR,60,-35.405491,149.101836
2163,WELL STATION DR,35,-35.207236,149.162052
1206,HALLEY ST,40,-35.412794,149.128063
1656,WILLIAM HOVELL DR,80,-35.27699,149.077775
1558,LIARDET ST,40,-35.341894,149.05044
1300,MCBRYDE CR,40,-35.404068,149.093876
1163,BALGARUP ST,40,-35.165681,149.13106
1259,ANTILL ST SRV RD,40,-35.248728,149.137163
1315,GARTSIDE ST,40,-35.405592,149.099497
1335,HAWKER PL 108-206,40,-35.242386,149.042631
1388,TENCH ST,40,-35.314907,149.140128
1361,GEORGINA CR,40,-35.21942,149.103511
1413,HARDWICK CR CARPARK S,40,-35.223886,149.021167
1541,BRIERLY ST,40,-35.34306,149.051724
3290,KATHERINE AV,20,-35.1648,149.130712
1526,MAWSON PL,40,-35.366636,149.09406
49217,FERGUSSON CR,40,-35.31311,149.109384
1989,WILLIAM HOVELL DR,90,-35.256738,149.026436
2185,PINNACLES ST,50,-35.201526,149.152087
63161,NAMATJIRA DR,60,-35.354484,149.051493
1348,CATCHPOLE ST,40,-35.251863,149.069688
1409,HARDWICK CR,40,-35.224349,149.020698
73262,POCKETT AV,60,-35.465378,149.093962
1239,STRANGWAYS ST,40,-35.326551,149.081573
1328,HAWKER PL 2-50,40,-35.243173,149.04501
1531,SANGSTER PL,40,-35.391391,149.086833
51264,BOWEN DR,60,-35.308909,149.138746
1492,FRANKLIN ST,40,-35.318729,149.131775
1647,LADY DENMAN DR,70,-35.292107,149.077155
1369,GEORGINA CR,40,-35.221063,149.103381
1384,GILES ST,40,-35.316411,149.139678
1219,BALCOMBE ST,40,-35.456563,149.09328
40866,BARRY DR,60,-35.275055,149.124597
12605,CONDAMINE ST,50,-35.26656,149.124487
30959,ANTILL ST SRV RD,50,-35.23995,149.165067
78823,HINDMARSH DR,80,-35.348237,149.106066
37698,GUTHRIE ST,50,-35.254142,149.136912
64385,AINSWORTH ST,60,-35.355252,149.097852
47963,KINGS AV,60,-35.298352,149.150263
46114,BLAMEY CR,20,-35.289562,149.153164
22742,COPLAND DR,60,-35.209558,149.061279
43772,AINSLIE AV,60,-35.276932,149.142438
23441,LYSAGHT ST,60,-35.214872,149.138058
89465,YASS RD,60,-35.336338,149.241133
15071,WANGANEEN AV,60,-35.16997,149.110394
1374,PRIMMER CT CARPARK W,40,-35.379263,149.057374
36432,BANDJALONG CR,60,-35.259025,149.084803
49717,CANBERRA AV,60,-35.31592,149.130939
51151,TELOPEA PARK,60,-35.311333,149.139651
48473,ROBERT CAMPBELL RD,40,-35.29696,149.168167
40879,MARCUS CLARKE ST,40,-35.275729,149.126642
30160,UNIVERSITY DR S,40,-35.239194,149.089344
72970,CLEM HILL ST,20,-35.463719,149.081127
62872,NORSE RD,60,-35.344496,149.209307
33368,PURDIE ST,40,-35.250717,149.096255
48539,HOPKINS DR,40,-35.300149,149.17544
89709,BRINDABELLA RD,3,-35.30617,148.948321
33362,PURDIE ST,40,-35.249664,149.093342
89501,SUTTON RD,80,-35.289411,149.257918
22501,KINGSFORD SMITH DR,70,-35.215404,149.045095
54106,LA PEROUSE ST,60,-35.326449,149.131234
67243,VOSPER ST,60,-35.391909,149.079126
78085,YAMBA DR,80,-35.373403,149.109828
79492,GINNINDERRA DR,80,-35.224532,149.073172
89625,PADDYS RIVER RD,65,-35.353974,148.943851
48410,STAFF CADET AV,40,-35.302718,149.161911
83683,NEW SOUTH WALES CR,20,-35.313135,149.133773
35581,ANTILL ST,60,-35.244806,149.158837
89603,PADDYS RIVER RD,55,-35.366738,148.954589
37091,WATTLE ST,60,-35.25264,149.124549
51072,YOUNG ST,50,-35.312842,149.135774
50428,CAPITAL CIR,40,-35.308775,149.128619
21046,CROFTS CR,50,-35.198921,149.064445
79610,GINNINDERRA DR,80,-35.230694,149.078929
27624,COULTER DR,80,-35.225087,149.061333
30960,ANTILL ST SRV RD,50,-35.23995,149.165067
71330,BARR SMITH AV,50,-35.428696,149.082935
89406,COPPINS CROSSING RD,55,-35.277854,149.04359
67159,SUMMERLAND CCT,60,-35.391382,149.070772
84769,BOBOYAN RD,2,-35.6938,148.996206
18664,KERRIGAN ST,60,-35.194049,149.041157
74674,JESSIE ST,60,-35.164376,149.143067
84171,LA PEROUSE ST,20,-35.325637,149.130891
72193,MONARO HWY,25,-35.435584,149.125469
60234,BRADLEY ST,20,-35.345058,149.08683
88206,ANKETELL ST,40,-35.417239,149.068727
38848,BENT ST,50,-35.26632,149.12537
34532,ANTILL ST,60,-35.248259,149.134562
73123,SHERWOOD CCT,30,-35.46112,149.08715
28696,ROSS SMITH CR,60,-35.240082,149.040492
69074,ISABELLA DR,80,-35.422992,149.080617
71340,JONDOL PL,10,-35.425513,149.08498
84406,MOUNT STROMLO RD,25,-35.327797,149.003451
14965,BUNDULUK CR,25,-35.167684,149.106045
30218,MARIBYRNONG AV,60,-35.229645,149.096518
84755,BOBOYAN RD,35,-35.690738,149.00071
14840,GAMBAN SQ,15,-35.1739,149.109894
28088,GUNGAHLIN DR,80,-35.223094,149.127504
34313,BRIGALOW ST,20,-35.250999,149.125272
14547,WALLAROO RD,80,-35.168682,149.046172
81123,LONDON CCT,40,-35.28309,149.13132
66890,LEARMONTH DR,25,-35.39378,149.048861
